tdate,dis_name,positive_cases
2020-07-01,Comilla,114
2020-07-01,Cox's Bazar,89
2020-07-01,Feni,41
2020-07-01,Khagrachhari,37
2020-07-01,Lakshmipur,16
2020-07-01,Noakhali,39
2020-07-01,Rangamati,80
2020-07-01,Dhaka,879
2020-07-01,Faridpur,2
2020-07-01,Gazipur,38
2020-07-01,Kishoreganj,1
2020-07-01,Madaripur,5
2020-07-01,Manikganj,12
2020-07-01,Munshiganj,5
2020-07-01,Narayanganj,70
2020-07-01,Narsingdi,4
2020-07-01,Rajbari,25
2020-07-01,Shariatpur,6
2020-07-01,Tangail,28
2020-07-01,Bagerhat,2
2020-07-01,Chuadanga,1
2020-07-01,Jessore,3
2020-07-01,Khulna,1
2020-07-01,Kushtia,3
2020-07-01,Magura,1
2020-07-01,Narail,1
2020-07-01,Satkhira,1
2020-07-01,Jamalpur,7
2020-07-01,Mymensingh,112
2020-07-01,Netrakona,20
2020-07-01,Sherpur,1
2020-07-01,Bogra,174
2020-07-01,Joypurhat,22
2020-07-01,Naogaon,112
2020-07-01,Natore,31
2020-07-01,Nawabganj,3
2020-07-01,Pabna,4
2020-07-01,Rajshahi,41
2020-07-01,Sirajganj,9
2020-07-01,Dinajpur,6
2020-07-01,Gaibandha,96
2020-07-01,Kurigram,41
2020-07-01,Lalmonirhat,19
2020-07-01,Nilphamari,1
2020-07-01,Rangpur,29
2020-07-01,Habiganj,16
2020-07-01,Maulvibazar,7
2020-07-01,Sunamganj,26
2020-07-01,Sylhet,198
2020-06-30,Barguna,3
2020-06-30,Barisal,6
2020-06-30,Bhola,25
2020-06-30,Jhalokati,9
2020-06-30,Patuakhali,8
2020-06-30,Bandarban,52
2020-06-30,Brahamanbaria,17
2020-06-30,Chandpur,51
2020-06-30,Chittagong,370
2020-06-30,Comilla,89
2020-06-30,Cox's Bazar,131
2020-06-30,Feni,60
2020-06-30,Khagrachhari,6
2020-06-30,Lakshmipur,69
2020-06-30,Noakhali,114
2020-06-30,Rangamati,84
2020-06-30,Dhaka,1021
2020-06-30,Faridpur,8
2020-06-30,Gazipur,37
2020-06-30,Gopalganj,7
2020-06-30,Kishoreganj,19
2020-06-30,Madaripur,15
2020-06-30,Manikganj,46
2020-06-30,Munshiganj,6
2020-06-30,Narayanganj,92
2020-06-30,Narsingdi,5
2020-06-30,Rajbari,24
2020-06-30,Shariatpur,34
2020-06-30,Tangail,25
2020-06-30,Chuadanga,3
2020-06-30,Jessore,2
2020-06-30,Jhenaidah,4
2020-06-30,Khulna,225
2020-06-30,Kushtia,4
2020-06-30,Meherpur,6
2020-06-30,Narail,2
2020-06-30,Satkhira,9
2020-06-30,Jamalpur,14
